2016/2017,2018,IS1106,1
17020018,A,,
17020026,B-,,
17020034,B,,
17020042,B,,
17020052,A,,
17020069,A-,,
17020077,B,,
17020085,B-,,
17020093,A-,,
17020107,A,,
17020115,B,,
17020123,C,,
17020131,A,,
17020141,A,,
17020158,F,,
17020166,B,,
17020174,B-,,
17020182,A-,,
17020192,B,,
17020204,A-,,
17020212,C+,,
17020222,F,,
17020239,A-,,
17020247,A,,
17020255,A-,,
17020263,A,,
17020271,A,,
17020281,B-,,
17020298,F,,
17020301,A,,
17020311,A,,
17020328,A,,
17020336,B,,
17020344,A-,,
17020352,A-,,
17020362,A,,
17020379,C,,
17020387,A+,,
17020395,B-,,
17020409,A-,,
17020417,B+,,
17020425,A+,,
17020433,B+,,
17020441,B+,,
17020451,C,,
17020468,C+,,
17020476,A,,
17020484,B-,,
17020492,A-,,
17020506,F,,
17020514,F,,
17020522,C+,,
17020532,A,,
17020549,B+,,
17020557,D+,,
17020565,A+,,
17020573,A,,
17020581,A-,,
17020591,C,,
17020603,A-,,
17020611,B+,,
17020621,A,,
17020638,B,,
17020646,B,,
17020654,A-,,
17020662,A,,
17020672,C,,
17020689,B+,,
17020697,C-,,
17020702,A-,,
17020719,B,,
17020727,C-,,
17020735,A,,
17020743,A,,
17020751,A-,,
17020761,B,,
17020778,B-,,
17020786,A,,
17020794,A,,
17020808,A,,
17020816,B+,,
17020824,B+,,
17020832,A,,
17020842,A,,
17020859,A,,
17020867,A,,
17020875,B-,,
17020883,B,,
17020891,A,,
17020905,A,,
17020913,D+,,
17020921,F,,
17020931,A-,,
17020948,B-,,
17020956,B-,,
17020964,D+,,
17020972,A,,
17020982,B,,
17020999,D+,,
17021006,A,,
17021014,A,,
17021022,C+,,
