2016/2017,2019,IS2107,1
17020018,A+,,
17020026,B+,,
17020034,A-,,
17020042,A,,
17020052,A,,
17020069,A,,
17020077,A+,,
17020085,A,,
17020093,A,,
17020107,A,,
17020115,A,,
17020123,A,,
17020131,A,,
17020141,A+,,
17020158,F,,
17020166,A+,,
17020174,A,,
17020182,A,,
17020192,A,,
17020204,A+,,
17020212,A,,
17020222,F,,
17020239,A,,
17020247,A,,
17020255,A,,
17020263,A+,,
17020271,A+,,
17020281,A,,
17020301,A,,
17020311,A,,
17020328,A+,,
17020336,A,,
17020344,A,,
17020352,A+,,
17020362,A+,,
17020379,A-,,
17020387,A+,,
17020395,B+,,
17020409,A,,
17020417,A,,
17020425,A,,
17020433,A,,
17020441,A,,
17020451,A-,,
17020468,A,,
17020476,A,,
17020484,A,,
17020492,A,,
17020522,A+,,
17020532,A+,,
17020549,A+,,
17020557,A-,,
17020565,A+,,
17020573,A,,
17020581,A,,
17020591,A,,
17020603,A,,
17020611,A,,
17020621,A+,,
17020638,C,,
17020646,A,,
17020654,A,,
17020662,A,,
17020672,A,,
17020689,A+,,
17020697,A,,
17020702,A+,,
17020719,A,,
17020727,A-,,
17020735,A+,,
17020743,A+,,
17020751,A,,
17020761,A,,
17020778,A,,
17020786,A,,
17020794,A,,
17020808,A,,
17020816,A,,
17020824,A,,
17020832,A,,
17020842,A,,
17020859,A-,,
17020867,A,,
17020875,A,,
17020883,A,,
17020891,A,,
17020905,A,,
17020913,A-,,
17020931,A-,,
17020948,A,,
17020956,A-,,
17020964,A,,
17020972,A,,
17020982,A,,
17020999,A,,
17021006,A,,
17021014,A,,
17021022,A,,
