2016/2017,2018,IS1109,2
17020018,B+,,
17020026,B,,
17020034,A-,,
17020042,B,,
17020052,A,,
17020069,A-,,
17020077,B+,,
17020085,B+,,
17020093,A-,,
17020107,C+,,
17020115,A-,,
17020123,B+,,
17020131,B+,,
17020141,A-,,
17020158,F,,
17020166,C,,
17020174,B,,
17020182,B,,
17020192,B+,,
17020204,A,,
17020212,B,,
17020222,F,,
17020239,B+,,
17020247,B,,
17020255,A,,
17020263,A,,
17020271,B-,,
17020281,C+,,
17020298,F,,
17020301,A,,
17020311,A-,,
17020328,A,,
17020336,B+,,
17020344,A+,,
17020352,A-,,
17020362,A+,,
17020379,C,,
17020387,A,,
17020395,B+,,
17020409,B+,,
17020417,B+,,
17020425,A-,,
17020433,A-,,
17020441,A-,,
17020451,B-,,
17020468,A,,
17020476,B+,,
17020484,B+,,
17020492,B+,,
17020506,F,,
17020514,F,,
17020522,A+,,
17020532,A+,,
17020549,A,,
17020557,B,,
17020565,A+,,
17020573,A-,,
17020581,A-,,
17020591,B+,,
17020603,A-,,
17020611,B+,,
17020621,B+,,
17020638,F,,
17020646,A-,,
17020654,A,,
17020662,B+,,
17020672,A,,
17020689,A,,
17020697,B+,,
17020702,A+,,
17020719,B+,,
17020727,B+,,
17020735,F,,
17020743,A,,
17020751,A-,,
17020761,A+,,
17020778,C-,,
17020786,B+,,
17020794,A,,
17020808,A,,
17020816,A-,,
17020824,A+,,
17020832,A-,,
17020842,A+,,
17020859,A-,,
17020867,A-,,
17020875,A,,
17020883,B-,,
17020891,C+,,
17020905,B,,
17020913,C-,,
17020921,F,,
17020931,A,,
17020948,B+,,
17020956,B,,
17020964,A-,,
17020972,A,,
17020982,B-,,
17020999,B+,,
17021006,B+,,
17021014,A,,
17021022,A-,,
